WKT;fid;PG;GKZ;PLZ;Adresse Ge;Lat;Lon;PG_1;GKZ_1;Gemeinde;layer;path;fid_2;id;name;osm_id;node_type;voltage_11;voltage_22;voltage_38;distance
MULTILINESTRING ((536307.606504514 5340483.10349796,545100.345368329 5338662.64678485));173;Hafnerbach;31910;3386;Kirchenplatz 4;48.216.534.799.999.900;15.488.776.000.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;351;117;UW St. Poelten;;9070;y;n;n;8979,22
MULTILINESTRING ((353674.318176068 5177867.28506862,344722.046510854 5178504.28558407));14;Dellach im Drautal;20604;9772;Nr. 18;46.738.325.549.999.900;13.084.619.800.000.000;;;;kaernten-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=kaernten-gemeinden-repro;307;429;UW Oberdrauburg;;9025;y;n;n;8974,91
MULTILINESTRING ((516489.932476531 5360117.02087009,517850.002516157 5368984.83907305));239;Kirchschlag;32514;3664;Kirchschlag 2;48.393.998.699.999.900;15.222.759.500.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;356;125;UW Sallingberg;;9075;y;n;n;8971,51
MULTILINESTRING ((433867.282405066 5154566.00889739,425430.843660422 5157590.53766622));67;Ludmannsdorf;20416;9072;Ludmannsdorf 27;46.541.409.600.000.000;14.137.475.800.000.000;;;;kaernten-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=kaernten-gemeinden-repro;312;468;UW Rosegg;;9030;y;n;n;8962,21
MULTILINESTRING ((1073399.42640878 5326220.52258204,1064446.64622749 5326573.72497011));103;Oggau_am_Neusiedler_See;10310;7063;Hauptstraï¿½e 52;478.327.719;16.664.344;;;;;;148;262;UW Eisenstadt;;4238;y;n;n;8959,74
MULTILINESTRING ((131915.370492403 5240139.01470155,134576.158374027 5231586.50453975));50;;80113;6764;Dorf 329;47.211.487.310.000.000;10.138.748.870.000.000;;;Lech;vorarlberg-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=vorarlberg-gemeinden-repro;225;543;UW Rauz;;4001;y;n;n;8956,85
MULTILINESTRING ((353028.038010924 5320341.84062117,350446.798341759 5328909.69786732));19;Eben im Pongau;50406;5152;Michaelbeuern 45;48.019.452.100.000.000;13.028.966.199.999.900;;;;salzburg-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=salzburg-gemeinden-repro;272;752;UW Gundertshausen;;4045;y;n;n;8948,24
MULTILINESTRING ((492744.686930217 5337694.09845118,493246.74875161 5328765.66583868));333;Neusiedl an der Zaya;30841;3323;Marktstra�e 16;48.192.439.999.999.900;14.902.374.300.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;375;93;UW Amstetten-Ost;;9094;y;n;n;8942,54
MULTILINESTRING ((520596.803848363 5331533.59734983,513462.490542388 5336915.97527387));410;Rußbach;31224;3244;Hauptplatz 1;48.136.722.450.000.000;15.276.845.610.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;123;91;UW Erlauf;;4213;y;n;n;8936,91
MULTILINESTRING ((556249.293601532 5382968.15901673,561261.878108983 5390366.41285011));67;Burgschleinitz-Kühnring;31103;3713;Burgschleinitz 13;48.597.265.380.000.000;15.762.907.660.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;362;69;UW Eggenburg;;9081;y;n;n;8936,45
MULTILINESTRING ((522858.25077385 5209586.38828879,531776.948061254 5209062.81163567));89;Hohentauern;62010;8561;Hitzendorf 63;47.039.399.639.999.900;15.300.886.630.000.000;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;483;231;UW Graz-Webling;;9204;y;n;n;8934,05
MULTILINESTRING ((452221.1557558 5145990.83753551,453672.779899306 5154791.01345286));132;Zell;20441;9170;Zell-Pfarre 75;46.465.795.950.000.000;14.377.716.899.999.900;;;;kaernten-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=kaernten-gemeinden-repro;327;507;UW Sankt Margareten;;9045;y;n;n;8919,1
MULTILINESTRING ((587157.44863753 5391788.12909297,594259.465553261 5397155.43478777));287;Mailberg;31025;2024;Mailberg 153;48.673.054.890.000.000;16.183.892.419.999.900;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;26;309;UW Fernhofen;;4115;y;n;n;8902,06
MULTILINESTRING ((400854.38172288 5365918.3887988,407788.653329209 5371485.0810394));155;Kremsmünster;40907;4794;Hauptstra�e 95;48.438.598.300.000.000;13.659.473.800.000.000;Kleinzell im Mühlkreis;41316;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;109;702;KW Ranna;;4199;y;n;n;8892,25
MULTILINESTRING ((584168.121644553 5323209.37213292,577564.518653364 5317266.25482248));189;Heiligenkreuz;30613;2534;Hauptstra�e 7;48.056.609.950.000.000;16.129.571.030.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;387;155;UW Neuhaus;;9107;y;n;n;8884,16
MULTILINESTRING ((525421.541644016 5267236.55565952,531109.402497308 5260414.20055656));262;Übelbach;60651;8636;Marktplatz 18;47.558.050.150.000.000;15.337.916.099.999.900;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;233;253;UW Hadersdorf;;4007;y;n;n;8882,36
MULTILINESTRING ((432203.322427787 5372507.09451628,425763.055400954 5378616.04512868));327;St. Agatha;40824;4171;Markt 2;48.502.022.400.000.000;14.082.198.099.999.900;Sigharting;41424;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;426;703;UW Rohrbach (Oberoe);;9146;y;n;n;8876,73
MULTILINESTRING ((526272.475086385 5371781.40419804,517850.002516157 5368984.83907305));278;Lichtenau im Waldviertel;31324;3522;Lichtenau im Waldviertel 49;48.498.603.400.000.000;15.355.639.849.999.900;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;356;125;UW Sallingberg;;9075;y;n;n;8874,62
MULTILINESTRING ((638360.07396531 5373354.34540107,630242.327770176 5369809.45817321));223;Jedenspeigen;30829;2264;Bahnstra�e 2;48.498.064.200.000.000;16.872.943.200.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;237;282;UW Spannberg;;4011;y;n;n;8857,99
MULTILINESTRING ((536187.316562347 5373847.51881891,532650.316184613 5381951.45363123));126;Gießhübl;31707;3542;Hauptplatz 3;48.516.697.399.999.900;15.490.027.800.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;189;128;UW Krumau;;4279;y;n;n;8842,18
MULTILINESTRING ((109931.702099909 5243410.24136777,107054.57034258 5235059.80197761));9;;80102;6723;Blons 9;47.228.137.980.000.000;9.846.736.225.000.000;;;Blons;vorarlberg-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=vorarlberg-gemeinden-repro;527;552;UW Buers Nord;;9250;y;n;n;8832,2
MULTILINESTRING ((544019.046823969 5348934.41547296,552818.554601026 5348188.05710699));343;Obritzberg-Rust;31930;3123;Marktstra�e 14;48.292.077.200.000.000;15.593.462.000.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;125;141;UW Herzogenburg;;4215;y;n;n;8831,1
MULTILINESTRING ((568347.49955206 5227257.59868207,575006.937519836 5221463.23372743));81;Haus;61217;8272;Hartl 185;47.195.257.499.999.900;15.902.301.899.999.900;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;475;211;UW Hohenbrugg;;9196;y;n;n;8827,39
MULTILINESTRING ((554224.209898978 5183698.3939058,555480.825712751 5192433.98788913));138;Michaelerberg-Pruggern;61260;8092;Mettersdorf am Sa�bach 85;46.804.625.600.000.000;15.710.651.199.999.900;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;488;353;UW St. Stephan;;9209;y;n;n;8825,51
MULTILINESTRING ((358450.325544102 5314671.71109211,359408.157563102 5305899.04833625));22;Elsbethen;50309;5163;Gemeindeweg 1;47.969.689.199.999.900;13.103.512.100.000.000;;;;salzburg-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=salzburg-gemeinden-repro;439;758;UW Seekirchen;;9159;y;n;n;8824,8
MULTILINESTRING ((120536.551642979 5273485.10826875,111851.775394722 5271949.65281914));66;;80231;6943;Dorf 157;47.503.922.099.999.900;9.960.602.099.999.990;;;Riefensberg;vorarlberg-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=vorarlberg-gemeinden-repro;55;594;Bozenau;;4145;y;n;n;8819,46
MULTILINESTRING ((377977.400902646 5258202.31171986,381583.923802652 5266244.85740156));62;Mittersill;50613;5522;Lammertalstraße 1;47.465.824.900.000.000;13.380.835.100.000.000;;;;salzburg-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=salzburg-gemeinden-repro;254;8;Annaberg;;4028;y;n;n;8814,17
MULTILINESTRING ((404894.851315336 5348028.07218665,412292.542486423 5343247.50425929));135;Kaltenberg;40606;4720;Kallham 51;48.278.309.669.999.900;13.718.133.480.000.000;Inzersdorf im Kremstal;40904;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;415;34;UW Grieskirchen;;9135;y;n;n;8807,93
MULTILINESTRING ((341168.05793044 5198598.07666651,344669.57796444 5206677.4744149));80;Moosburg;20421;9842;M�rtschach 42;46.921.903.000.000.000;12.913.816.600.000.000;;;;kaernten-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=kaernten-gemeinden-repro;66;428;KW Zirknitz;;4156;y;n;n;8805,53
MULTILINESTRING ((512498.816473544 5316937.35932048,507239.807880353 5309882.31953767));434;Schweiggers;32525;3270;Rathausplatz 1;48.005.610.200.000.000;15.167.572.750.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;274;103;UW Gaming;;4047;y;n;n;8799,47
MULTILINESTRING ((438720.103985034 5188656.72996317,446905.119180062 5191881.23519749));126;Weißensee;20639;9344;Weitensfeld 202;46.848.630.000.000.000;14.196.222.400.000.000;;;;kaernten-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=kaernten-gemeinden-repro;325;503;UW Gurk;;9043;y;n;n;8797,27
MULTILINESTRING ((640204.372442987 5389663.15320691,632622.909917001 5385206.0629489));386;Rabensburg;31645;2274;Hauptstra�e 24;48.644.293.300.000.000;16.903.392.499.999.900;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;369;283;UW Neusiedl an der Zaya;;9088;y;n;n;8794,56
MULTILINESTRING ((469095.955638631 5155301.14151958,460382.692959577 5156354.24111159));112;St. Urban;21008;9133;Sittersdorf 100a;46.550.566.930.000.000;14.596.872.339.999.900;;;;kaernten-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=kaernten-gemeinden-repro;35;506;KW Freibach;;4125;y;n;n;8776,67
MULTILINESTRING ((619544.694612556 5327815.80631461,612121.374869291 5332495.05942848));244;Klein-Neusiedl;30733;2431;Kirchenplatz 8;48.092.390.999.999.900;16.605.463.400.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;385;747;UW Schwechat;;9105;y;n;n;8775,03
MULTILINESTRING ((537906.47662261 5389631.10700066,546602.906172449 5388484.64014378));405;Rohrbach an der Gölsen;31410;3592;Greillenstein 4;48.658.583.550.000.000;15.514.746.770.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;353;70;UW Horn;;9072;y;n;n;8771,67
MULTILINESTRING ((321635.575297412 5251406.45154045,321485.277505423 5260171.99461665));115;Werfen;50424;5754;Dorfplatz 36;47.391.738.549.999.900;12.636.504.130.000.000;;;;salzburg-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=salzburg-gemeinden-repro;511;629;UW Hochfilzen;;9233;y;n;n;8766,83
MULTILINESTRING ((323682.484354749 5193321.79069596,317364.515222163 5199396.15304504));4;Ainet;70702;9951;Ainet 90;46.870.047.139.999.900;12.686.376.520.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;507;402;KW Kalserbach;;9229;y;n;n;8764,39
MULTILINESTRING ((182418.384263833 5260419.1438519,179809.125080974 5268785.67404358));23;Bichlbach;70804;6621;Kirchhof 58;47.419.820.500.000.000;10.789.289.200.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;501;541;Reutte;;9223;y;n;n;8763,96
MULTILINESTRING ((305174.756165047 5250660.1221796,303252.95399109 5259180.76099055));96;Jochberg;70408;6373;Dorf 22;47.380.327.200.000.000;12.418.928.650.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;513;627;UW Kitzbuehel;;9235;y;n;n;8734,68
MULTILINESTRING ((625868.989070795 5330002.62155588,626387.058698389 5321290.56442377));181;Haslau-Maria Ellend;30711;2402;Wiener Stra�e 11;48.110.839.499.999.900;16.691.005.199.999.900;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;144;316;UW Sarasdorf;;4234;y;n;y;8727,45
MULTILINESTRING ((357615.517662502 5178818.63565061,366330.411061102 5179281.89674684));10;Berg im Drautal;20603;9771;Nr. 121;46.747.734.049.999.900;13.135.886.200.000.000;;;;kaernten-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=kaernten-gemeinden-repro;276;404;UW Steinfeld;;4048;y;n;n;8727,2
MULTILINESTRING ((609386.023759891 5392482.120497,601752.638152438 5396679.29390502));473;Staatz;31649;2134;Neudorfer Stra�e 7;48.675.797.950.000.000;16.485.919.910.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;365;307;UW Laa an der Thaya;;9084;y;n;n;8711,19
MULTILINESTRING ((388968.853238876 5375181.27370305,385367.202855544 5367261.72095632));343;St. Marienkirchen am Hausruck;41227;4784;Sch�rdinger Stra�e 4;48.519.918.699.999.900;13.496.366.099.999.900;St. Johann am Wimberg;41331;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;423;781;UW Aigerding;;9143;y;n;n;8700,07
MULTILINESTRING ((519633.262896679 5212936.83659274,524889.440420248 5219854.47576211));191;Schladming;61265;8151;Sankt Bartholom� 3;47.069.652.599.999.900;15.258.581.800.000.000;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;168;237;UW Gratkorn;;4258;y;n;n;8687,99
MULTILINESTRING ((364767.774092624 5257526.18946571,364922.481530444 5248845.2203878));57;Maishofen;50611;5452;Dorfwerfen 4;47.457.135.500.000.000;13.205.842.600.000.000;;;;salzburg-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=salzburg-gemeinden-repro;177;9;UW Pongau;;4267;y;n;n;8682,35
MULTILINESTRING ((446801.814350677 5213138.75069141,451716.994698252 5220285.97208309));202;St. Andrä-Höch;61030;8813;Hauptstra�e 12;47.069.618.300.000.000;14.299.347.500.000.000;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;486;490;UW Teufenbach;;9207;y;n;n;8674,2
MULTILINESTRING ((552290.602499228 5207338.49067948,555082.04785786 5215547.86998713));205;St. Bartholomä;60639;8323;Markt 25;47.017.499.800.000.000;15.688.028.600.000.000;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;457;200;UW Oststeiermark/Wuenschendorf;;9178;y;n;n;8670,99
MULTILINESTRING ((417254.459271665 5368768.92398832,425068.132335706 5365026.31758178));215;Niederneukirchen;41015;4133;Niederkappel 48;48.466.607.400.000.000;13.880.603.760.000.000;Neumarkt im Hausruckkreis;40818;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;108;700;UW Partenstein;;4198;y;n;n;8663,75
MULTILINESTRING ((619655.782942359 5326724.14648308,626387.058698389 5321290.56442377));95;Enzersdorf an der Fischa;30706;2431;Margarethnerstra�e 19;48.082.552.300.000.000;16.606.648.799.999.900;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;144;316;UW Sarasdorf;;4234;y;n;y;8650,66
MULTILINESTRING ((529234.798747735 5317706.27720187,529109.796210715 5326329.57881702));283;Loich;31920;3211;Loich 5;48.011.981.700.000.000;15.392.002.099.999.900;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;279;118;UW Kilb;;4051;y;n;n;8624,21
MULTILINESTRING ((1061448.18358242 5315346.5675806,1053541.18941781 5311916.02547209));19;Draï¿½burg;10601;7021;Eisenstï¿½dterstraï¿½e 7;477.462.928;164.919.918;;;;;;283;260;UW Mattersburg;;9001;y;n;n;8619,12
MULTILINESTRING ((473999.465620636 5320412.52979285,480721.464344127 5315034.25810577));458;St. Egyden am Steinfeld;31831;3353;Steyrer Stra�e 1;48.036.469.599.999.900;14.651.200.230.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;371;99;UW Gerstl;;9090;y;n;n;8608,78
MULTILINESTRING ((513522.501044272 5400683.25575545,520265.882169641 5406034.4040822));509;Vitis;32219;3902;Hauptplatz 16;48.759.012.700.000.000;15.183.992.800.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;354;71;UW Waidhofen an der Thaya;;9073;y;n;n;8608,6
MULTILINESTRING ((613882.453538684 5349021.65905875,605408.879151843 5347518.81293108));3;Aderklaa;30801;2232;Aderklaa 12;48.284.146.499.999.900;16.535.136.000.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;545;338;UW Leopoldau;;9270;y;n;n;8605,81
MULTILINESTRING ((1061587.1256569 5314967.79620638,1053541.18941781 5311916.02547209));7;Baumgarten;10617;7021;Gemeinde Baumgarten;4.774.279.325;1.649.334.175;;;;;;283;260;UW Mattersburg;;9001;y;n;n;8605,25
MULTILINESTRING ((515624.883774782 5311804.73461782,507239.807880353 5309882.31953767));415;Scheiblingkirchen-Thernberg;31832;3283;St. Anton an der Je�nitz 5;47.959.362.400.000.000;15.209.297.200.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;274;103;UW Gaming;;4047;y;n;n;8602,63
MULTILINESTRING ((319836.892247777 5184101.10379151,328301.854344279 5185617.1748826));14;Assling;70705;9911;Unterassling 28;46.786.109.799.999.900;12.639.592.499.999.900;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;64;405;KW Amlach;;4154;y;n;n;8599,65
MULTILINESTRING ((437396.89698623 5161754.65434457,429019.051800283 5163638.68209983));74;Maria Wörth;20419;9082;W�rthersee-S�duferstra�e 115;46.606.434.600.000.000;14.182.533.800.000.000;;;;kaernten-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=kaernten-gemeinden-repro;305;453;KW Forstsee;;9023;y;n;n;8587,07
MULTILINESTRING ((528309.280024987 5301203.07486891,519918.329799702 5303024.91028115));20;Annaberg;31401;3222;Annaberg 14;47.863.542.610.000.000;15.378.507.030.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;380;110;UW Erlaufboden;;9100;y;n;n;8586,45
MULTILINESTRING ((421509.516428041 5170712.48367775,415301.853508646 5164797.77004343));115;Steindorf am Ossiacher See;21009;9552;10.-Oktober-Stra�e 1;46.685.365.800.000.000;13.973.584.600.000.000;;;;kaernten-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=kaernten-gemeinden-repro;301;446;UW Landskron;;9019;y;n;n;8574,32
MULTILINESTRING ((525015.598641585 5169838.86048539,521455.388049852 5177591.67323522));157;Öblarn;61262;8455;Oberhaag 200;46.681.640.010.000.000;15.327.104.110.000.000;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;460;736;UW Bergla;;9181;y;n;n;8531,19
MULTILINESTRING ((379752.974476469 5342002.23004312,371561.598019558 5339624.62928914));430;Wippenham;41236;4942;Wippenham 37;48.219.842.399.999.900;13.381.098.600.000.000;Weyregg am Attersee;41749;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;252;37;UW Rossbach;;4026;y;n;n;8529,46
MULTILINESTRING ((576839.925373068 5198569.40414243,568454.475052545 5200107.08941358));40;Feldbach;62379;8362;Grazer Stra�e 1;46.936.204.750.000.000;16.009.513.999.999.900;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;479;209;UW Feldbach;;9200;y;n;n;8525,27
MULTILINESTRING ((400471.854572395 5375844.64918582,407788.653329209 5371485.0810394));401;Vichtenstein;41427;4091;Vichtenstein 70;48.527.814.120.000.000;13.651.939.080.000.000;Unterweißenbach;40621;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;109;702;KW Ranna;;4199;y;n;n;8517,12
MULTILINESTRING ((422262.697447782 5169673.24430379,415301.853508646 5164797.77004343));86;Ossiach;21006;9570;Ossiach 8;46.676.102.800.000.000;13.983.607.700.000.000;;;;kaernten-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=kaernten-gemeinden-repro;301;446;UW Landskron;;9019;y;n;n;8498,45
MULTILINESTRING ((292656.608663705 5258838.34483032,294381.971382168 5267146.88403327));29;Brixen im Thale;70402;6364;Dorfstra�e 93;47.449.978.700.000.000;12.249.449.000.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;510;631;UW Ellmau;;9232;y;n;n;8485,79
MULTILINESTRING ((492585.826190245 5248896.08074292,500134.148995101 5245038.98559141));102;Kapfenstein;62332;8793;Hauptstra�e 56;47.393.478.000.000.000;14.901.754.300.000.000;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;465;493;UW Sankt Michael;;9186;y;n;n;8476,7
MULTILINESTRING ((400949.309380051 5324639.50303089,399939.018693662 5316241.99913378));178;Marchtrenk;41812;4903;Manning 31;48.067.336.650.000.000;13.670.419.000.000.000;Lohnsburg am Kobernaußerwald;41213;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;396;20;UW Voecklabruck;;9116;y;n;n;8458,06
MULTILINESTRING ((521221.371968787 5332200.81679617,520028.225097946 5340571.51884891));422;Schottwien;31833;3243;Hauptplatz 1;48.142.704.799.999.900;15.285.273.699.999.900;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;332;121;UW Bergern;;9050;y;n;n;8455,31
MULTILINESTRING ((387918.19675253 5332521.51372064,389678.688015051 5340782.17573264));266;Pregarten;40614;4925;Pramet 35;48.136.069.990.000.000;13.493.487.849.999.900;Pötting;40820;;oberoesterreich-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=oberoesterreich-gemeinden-repro;410;36;UW Ried;;9130;y;n;n;8446,17
MULTILINESTRING ((562373.678608358 5275864.68812979,570049.319315381 5279375.75978274));459;St. Georgen am Reith;30526;2680;Hochstra�e 1;47.633.177.750.000.000;15.830.292.560.000.000;;;;niederoesterreich-wien-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=niederoesterreich-wien-gemeinden-repro;372;168;UW Hart;;9091;y;n;n;8440,56
MULTILINESTRING ((560974.326281396 5225647.41974743,564061.352249678 5217798.3019437));166;Pölfing-Brunn;60323;8212;Pischelsdorf 85;47.181.494.999.999.900;15.804.755.050.000.000;;;;steiermark repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=steiermark repro;489;198;UW Unterrettenbach;;9210;y;n;n;8434,36
MULTILINESTRING ((1035991.23078954 5216685.47777343,1042553.22655538 5221980.36437407));84;Mï¿½hlgraben;10512;8385;Feldanergraben 1/1;468.869.396;160.364.969;;;;;;291;741;UW Jennersdorf;;9009;y;n;n;8431,82
MULTILINESTRING ((231009.110640522 5225899.79156277,222651.865880152 5226914.12662093));131;Matrei am Brenner;70327;6143;Brennerstra�e 59;47.131.644.999.999.900;11.452.949.000.000.000;;;;tirol-gemeinden-repro;C:/Users/aklauzer/Documents/QGIS/spatialquery2.gpkg|layername=tirol-gemeinden-repro;39;608;KW Medraz;;4129;y;n;n;8418,58
